duration,frequency,member_type
1056,1,member
1056,13,casual
1057,7,casual
1057,3,member
1058,11,casual
1058,5,member
1059,9,casual
1059,3,member
1060,3,member
1060,8,casual
1061,14,casual
1061,5,member
1062,10,casual
1063,11,casual
1063,2,member
1064,17,casual
1064,1,member
1065,15,casual
1065,3,member
1066,1,member
1066,10,casual
1067,3,member
1067,10,casual
1068,11,casual
1068,2,member
1069,14,casual
1069,2,member
1070,11,casual
1071,3,member
1071,12,casual
1072,6,casual
1072,1,member
1073,3,member
1073,10,casual
1074,16,casual
1075,8,casual
1075,5,member
1076,15,casual
1077,10,casual
1078,3,member
1078,13,casual
1079,2,member
1079,9,casual
1080,3,member
1080,8,casual
1081,13,casual
1081,1,member
1082,3,member
1082,11,casual
1083,7,casual
1083,4,member
1084,8,casual
1084,2,member
1085,2,member
1085,15,casual
1086,7,casual
1087,11,casual
1087,3,member
1088,4,member
1088,9,casual
1089,4,member
1089,11,casual
1090,9,casual
1090,4,member
1091,5,member
1091,10,casual
1092,8,casual
1093,15,casual
1093,2,member
1094,12,casual
1094,1,member
1095,3,member
1095,13,casual
1096,16,casual
1096,1,member
1097,11,casual
1097,3,member
1098,11,casual
1099,17,casual
1099,6,member
1100,2,member
1100,9,casual
1101,2,member
1101,15,casual
1102,8,casual
1102,1,member
1103,13,casual
1103,2,member
1104,5,casual
1105,1,member
1105,6,casual
1106,12,casual
1106,3,member
1107,3,member
1107,9,casual
1108,9,casual
1108,1,member
1109,2,member
1109,11,casual
1110,8,casual
1110,5,member
1111,7,casual
1112,7,member
1112,7,casual
1113,8,casual
1113,1,member
1114,11,casual
1114,1,member
1115,11,casual
1115,6,member
1116,3,member
1116,6,casual
1117,7,casual
1117,2,member
1118,7,casual
1118,2,member
1119,8,casual
1119,4,member
1120,12,casual
1120,2,member
1121,12,casual
1121,2,member
1122,12,casual
1122,3,member
1123,16,casual
1123,3,member
1124,14,casual
1125,2,member
1125,6,casual
1126,12,casual
1126,5,member
1127,3,member
1127,12,casual
1128,14,casual
1128,2,member
1129,6,casual
1129,1,member
1130,2,member
1130,8,casual
1131,11,casual
1132,1,member
1132,8,casual
1133,14,casual
1133,2,member
1134,9,casual
1134,4,member
1135,2,member
1135,11,casual
1136,4,member
1136,5,casual
1137,4,member
1137,4,casual
1138,15,casual
1138,1,member
1139,7,casual
1139,4,member
1140,12,casual
1140,1,member
1141,10,casual
1142,8,casual
1142,3,member
1143,1,member
1143,8,casual
1144,3,casual
1144,1,member
1145,14,casual
1145,1,member
1146,11,casual
1147,1,member
1147,9,casual
1148,1,member
1148,9,casual
1149,7,casual
1150,7,casual
1150,2,member
1151,5,casual
1151,3,member
1152,6,casual
1152,3,member
1153,12,casual
1154,11,casual
1154,1,member
1155,13,casual
1155,2,member
1156,2,member
1156,7,casual
1157,11,casual
1158,1,member
1158,11,casual
1159,5,member
1159,10,casual
1160,8,casual
1160,2,member
1161,10,casual
1161,1,member
1162,9,casual
1162,1,member
1163,4,member
1163,6,casual
1164,3,member
1164,8,casual
1165,2,member
1165,12,casual
1166,3,member
1166,12,casual
1167,6,casual
1167,3,member
1168,4,member
1168,10,casual
1169,2,member
1169,12,casual
1170,1,member
1170,8,casual
1171,1,member
1171,5,casual
1172,12,casual
1172,4,member
1173,1,member
1173,5,casual
1174,7,casual
1174,6,member
1175,9,casual
1176,9,casual
1176,1,member
1177,11,casual
1178,9,casual
1178,2,member
1179,11,casual
1180,7,casual
1181,1,member
1181,14,casual
1182,10,casual
1183,5,casual
1184,11,casual
1184,2,member
1185,1,member
1185,7,casual
1186,9,casual
1187,7,casual
1188,9,casual
1188,2,member
1189,1,member
1189,9,casual
1190,10,casual
1190,3,member
1191,1,member
1191,11,casual
1192,2,member
1192,11,casual
1193,11,casual
1193,3,member
1194,8,casual
1194,2,member
1195,10,casual
1196,4,casual
1196,1,member
1197,11,casual
1197,2,member
1198,4,member
1198,12,casual
1199,9,casual
1199,2,member
1200,14,casual
1201,11,casual
1201,1,member
1202,1,member
1202,10,casual
1203,8,casual
1203,1,member
1204,7,casual
1204,2,member
1205,1,member
1205,12,casual
1206,2,member
1206,7,casual
1207,2,member
1207,5,casual
1208,6,casual
1208,6,member
1209,7,casual
1209,1,member
1210,9,casual
1211,10,casual
1211,1,member
1212,7,casual
1213,1,member
1213,5,casual
1214,15,casual
1215,2,member
1215,6,casual
1216,13,casual
1216,1,member
1217,9,casual
1218,16,casual
1218,1,member
1219,6,casual
1219,1,member
1220,13,casual
1220,2,member
1221,8,casual
1221,3,member
1222,2,member
1222,8,casual
1223,12,casual
1224,2,member
1224,10,casual
1225,13,casual
1225,3,member
1226,14,casual
1226,1,member
1227,7,casual
1228,4,casual
1229,2,member
1229,17,casual
1230,8,casual
1230,4,member
1231,6,casual
1232,7,casual
1232,1,member
1233,3,member
1233,10,casual
1234,1,member
1234,9,casual
1235,2,member
1235,7,casual
1236,17,casual
1236,2,member
1237,1,member
1237,6,casual
1238,8,casual
1238,1,member
1239,10,casual
1239,2,member
1240,8,casual
1240,1,member
1241,1,member
1241,8,casual
1242,2,member
1242,6,casual
1243,1,member
1243,7,casual
1244,6,casual
1245,2,member
1245,8,casual
1246,2,member
1246,16,casual
1247,11,casual
1247,3,member
1248,12,casual
1248,3,member
1249,8,casual
1249,1,member
1250,12,casual
1250,2,member
1251,11,casual
1252,1,member
1252,7,casual
1253,2,member
1253,7,casual
1254,3,member
1254,6,casual
1255,2,member
1255,6,casual
1256,2,member
1256,8,casual
1257,9,casual
1257,2,member
1258,10,casual
1258,1,member
1259,7,casual
1259,5,member
1260,1,member
1260,6,casual
1261,2,member
1261,10,casual
1262,8,casual
1262,2,member
1263,3,casual
1264,5,casual
1264,3,member
1265,1,member
1265,8,casual
1266,1,member
1266,8,casual
1267,15,casual
1268,4,member
1268,10,casual
1269,7,casual
1270,1,member
1270,9,casual
1271,9,casual
1272,9,casual
1272,1,member
1273,1,member
1273,10,casual
1274,10,casual
1275,8,casual
1275,3,member
1276,6,casual
1277,7,casual
1277,2,member
1278,6,casual
1279,3,member
1279,7,casual
1280,12,casual
1281,9,casual
1282,6,casual
1283,11,casual
1283,3,member
1284,13,casual
1285,1,member
1285,6,casual
1286,1,member
1286,7,casual
1287,7,casual
1288,7,casual
1289,8,casual
1290,7,casual
1291,1,member
1291,6,casual
1292,5,casual
1292,1,member
1293,7,casual
1293,1,member
1294,7,casual
1294,1,member
1295,9,casual
1296,6,casual
1297,2,member
1297,8,casual
1298,9,casual
1298,1,member
1299,8,casual
1299,1,member
1300,2,member
1300,14,casual
1301,9,casual
1301,2,member
1302,12,casual
1302,1,member
1303,8,casual
1304,8,casual
1305,6,casual
1305,1,member
1306,2,member
1306,8,casual
1307,1,member
1307,8,casual
1308,3,member
1308,10,casual
1309,6,casual
1309,1,member
1310,1,member
1310,9,casual
1311,8,casual
1311,1,member
1312,5,casual
1313,14,casual
1313,2,member
1314,7,casual
1314,4,member
1315,1,member
1315,6,casual
1316,9,casual
1316,1,member
1317,12,casual
1317,1,member
1318,13,casual
1318,2,member
1319,6,casual
1319,1,member
1320,1,member
1320,10,casual
1321,11,casual
1321,3,member
1322,1,member
1322,9,casual
1323,4,casual
1323,2,member
1324,8,casual
1324,2,member
1325,5,casual
1325,1,member
1326,1,member
1326,6,casual
1327,1,member
1327,6,casual
1328,6,casual
1328,2,member
1329,8,casual
1329,2,member
1330,7,casual
1330,1,member
1331,7,casual
1331,1,member
1332,11,casual
1332,1,member
1333,7,casual
1334,11,casual
1335,3,member
1335,8,casual
1336,1,member
1336,10,casual
1337,6,member
1337,8,casual
1338,10,casual
1339,7,casual
1340,9,casual
1340,2,member
1341,9,casual
1341,2,member
1342,2,member
1342,8,casual
1343,2,member
1343,8,casual
1344,7,casual
1344,1,member
1345,11,casual
1345,2,member
1346,5,casual
1347,1,member
1347,10,casual
1348,1,member
1348,13,casual
1349,7,casual
1350,8,casual
1350,1,member
1351,1,member
1351,6,casual
1352,1,member
1352,5,casual
1353,2,member
1353,7,casual
1354,7,casual
1354,2,member
1355,1,member
1355,8,casual
1356,9,casual
1357,4,member
1357,7,casual
1358,9,casual
1359,9,casual
1359,2,member
1360,14,casual
1361,3,member
1361,9,casual
1362,5,casual
1363,10,casual
1364,2,member
1364,4,casual
1365,6,casual
1365,1,member
1366,6,casual
1367,1,member
1367,7,casual
1368,10,casual
1368,2,member
1369,2,member
1369,4,casual
1370,5,casual
1370,4,member
1371,9,casual
1371,2,member
1372,9,casual
1373,2,casual
1373,1,member
1374,1,member
1374,11,casual
1375,2,member
1375,6,casual
1376,13,casual
1377,3,member
1377,6,casual
1378,7,casual
1379,3,member
1379,10,casual
1380,2,member
1380,6,casual
1381,1,member
1381,6,casual
1382,1,member
1382,8,casual
1383,5,casual
1384,8,casual
1385,10,casual
1386,2,member
1386,9,casual
1387,10,casual
1388,7,casual
1389,8,casual
1390,6,casual
1390,2,member
1391,6,casual
1392,12,casual
1393,9,casual
1393,1,member
1394,1,member
1394,6,casual
1395,9,casual
1396,12,casual
1397,7,casual
1397,1,member
1398,1,member
1398,7,casual
1399,8,casual
1400,7,casual
1401,2,casual
1402,2,casual
1402,2,member
1403,4,casual
1404,7,casual
1404,1,member
1405,3,casual
1405,1,member
1406,3,member
1406,6,casual
1407,5,casual
1408,2,casual
1408,1,member
1409,6,casual
1409,1,member
1410,7,casual
1411,7,casual
1411,1,member
1412,8,casual
1413,4,casual
1414,1,member
1414,5,casual
1415,7,casual
1415,2,member
1416,5,casual
1416,1,member
1417,1,member
1417,4,casual
1418,2,member
1418,6,casual
1419,10,casual
1419,2,member
1420,1,member
1420,4,casual
1421,6,casual
1421,1,member
1422,6,casual
1422,2,member
1423,1,member
1423,11,casual
1424,11,casual
1425,3,casual
1426,7,casual
1426,3,member
1427,7,casual
1428,4,casual
1428,1,member
1429,1,member
1429,6,casual
1430,8,casual
1430,1,member
1431,1,member
1431,5,casual
1432,8,casual
1432,2,member
1433,12,casual
1433,2,member
1434,8,casual
1435,1,member
1435,10,casual
1436,2,member
1436,4,casual
1437,8,casual
1438,5,casual
1439,5,member
1439,18,casual
